Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,25499.97,84466.98,199353.73,333336.64,466379.53,996288.36,1473429.23,1999797.72,2520544.06,42185.9985310735,82.22,145.73,293.94
107  Ag  [ He ] ,Conc. [ ppb ],0,0.51,1.69,4,6.69,9.36,19.99,29.56,40.12,50.57,NA,NA,NA,NA
,Avg.intensity,82.22,25582.19,84549.2,199435.95,333418.86,466461.75,996370.58,1473511.45,1999879.94,2520626.28,NA,NA,NA,NA
,std,25.75,2.98,2.34,3.85,2.38,2.17,2.56,2.42,4.39,2.42,NA,NA,NA,NA
NA,y-y0,0,9307.24,23096.42,44187.77,67111.69,89504.69,176684.18,261646.64,345532.31,431640.48,8673.66393755032,16.67,26.68,50.03
111  Cd  [ He ] ,Conc. [ ppb ],0,1.07,2.66,5.09,7.74,10.32,20.37,30.17,39.84,49.76,NA,NA,NA,NA
,Avg.intensity,16.67,9323.91,23113.09,44204.44,67128.36,89521.36,176700.85,261663.31,345548.98,431657.15,NA,NA,NA,NA
,std,20.01,2.06,1.43,0.55,0.75,0.56,0.66,0.52,1.1,1.47,NA,NA,NA,NA
NA,y-y0,0,2867.6,10476.04,23529.39,35895.08,47831.03,103309.62,2130.21,1274.54,841.16,4699.63559322034,34.44,49.71,85.34
202  Hg  [ He ] ,Conc. [ ppb ],0,0.57,2.08,4.68,7.14,9.51,20.54,0.42,0.25,0.17,NA,NA,NA,NA
,Avg.intensity,34.44,2902.04,10510.48,23563.83,35929.52,47865.47,103344.06,2164.65,1308.98,875.6,NA,NA,NA,NA
,std,14.78,2.25,1.56,1.36,1.39,1.98,0.77,2.09,3.81,2.7,NA,NA,NA,NA
NA,y-y0,0,61425.44,153364.43,294730.64,434177.17,585738.91,1180684.19,1733323.04,2264931.06,2841853.97,58472.5253107345,365.57,446.4,635
205  Tl  [ He ] ,Conc. [ ppb ],0,1.07,2.68,5.16,7.6,10.25,20.66,30.33,39.64,49.73,NA,NA,NA,NA
,Avg.intensity,365.57,61791.01,153730,295096.21,434542.74,586104.48,1181049.76,1733688.61,2265296.63,2842219.54,NA,NA,NA,NA
,std,7.37,1.89,0.48,1.94,0.27,0.71,2.17,1.43,3.48,2.1,NA,NA,NA,NA
NA,y-y0,0,44444.94,106878.14,205968.39,308204.79,452541.43,807071.51,1218285.31,1567392.85,1989626.59,41277.0414124294,613.36,760.75,1104.66
208  Pb  [ He ] ,Conc. [ ppb ],0,1.11,2.68,5.16,7.72,11.34,20.22,30.52,39.27,49.85,NA,NA,NA,NA
,Avg.intensity,613.36,45058.3,107491.5,206581.75,308818.15,453154.79,807684.87,1218898.67,1568006.21,1990239.95,NA,NA,NA,NA
,std,8.01,2.1,0.09,2.33,1.42,0.76,1.37,1.72,1.54,2.14,NA,NA,NA,NA
