ID,Area,DW,Year,ID_num,Tissue,dta_km,dtfl_km,Gender,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
49_14_stomach,49,108.8,2021,14,Stomach,376,460,1,46°55'S,60°51'W,5,181.00,119.6,2,0.606,0.211,0,2.864
49_15_stomach,49,107.8,2021,15,Stomach,376,460,1,46°55'S,60°51'W,5,194.00,148.5,3,0,2.5 BLOQ,0,4.146
47_01_liver,47,101.8,2021,01,Liver,544,181,1,49°33'S,59°59'W,6,288.00,646.2,5,0,0.034,0,9.835
47_02_liver,47,105.1,2021,02,Liver,544,181,1,49°33'S,59°59'W,6,254.00,444.5,5,0,0.065,0,7.54
47_03_liver,47,105.6,2021,03,Liver,544,181,1,49°33'S,59°59'W,6,246.00,453.3,5,0,0.058,0,13.506
47_04_liver,47,101.0,2021,04,Liver,544,181,0,49°33'S,59°59'W,6,310.00,875.8,3,0,0.08,0,7.853
47_05_liver,47,107.3,2021,05,Liver,544,181,1,49°33'S,59°59'W,6,267.00,572.8,5,0,0.089,0,15.393
47_06_liver,47,108.4,2021,06,Liver,544,181,0,49°33'S,59°59'W,6,269.00,478.6,3,0,0.041,0,5.596
47_07_liver,47,105.2,2021,07,Liver,544,181,1,49°33'S,59°59'W,6,250.00,439.4,5,0,0.027,0,9.224
47_08_liver,47,103.8,2021,08,Liver,544,181,0,49°33'S,59°59'W,6,273.00,574.7,4,0,0.087,0,15.124
47_09_liver,47,106.7,2021,09,Liver,544,181,0,49°33'S,59°59'W,6,273.00,671.6,4,0,0.082,0,17.013
47_10_liver,47,106.6,2021,10,Liver,544,181,0,49°33'S,59°59'W,6,276.00,512.9,3,0,0.04,0,14.543
47_11_liver,47,109.3,2021,11,Liver,544,181,0,49°33'S,59°59'W,6,310.00,754.1,4,4.004,0.508,0,37.747
47_12_liver,47,104.4,2021,12,Liver,544,181,1,49°33'S,59°59'W,6,241.00,404.0,4,67.003,0.418,0,46.923
47_13_liver,47,106.1,2021,13,Liver,544,181,0,49°33'S,59°59'W,6,257.00,462.9,3,0,0.72,0,33.19
47_14_liver,47,107.3,2021,14,Liver,544,181,1,49°33'S,59°59'W,6,257.00,445.3,4,0,0.057,0,9.03
47_15_liver,47,109.9,2021,15,Liver,544,181,1,49°33'S,59°59'W,6,274.90,376.8,3,0,0.123,0,29.413
49_01_liver,49,107.6,2021,01,Liver,376,460,1,46°55'S,60°51'W,5,242.30,378.4,3,0,0.046,0,11.067
49_02_liver,49,108.4,2021,02,Liver,376,460,0,46°55'S,60°51'W,5,261.54,463.9,3,253.202,0.228,0,60.361
49_03_liver,49,107.2,2021,03,Liver,376,460,0,46°55'S,60°51'W,5,308.12,807.5,3,0,0.337,0,38.69
49_04_liver,49,106.0,2021,04,Liver,376,460,1,46°55'S,60°51'W,5,289.00,529.7,5,0,0.061,0,17.961
49_05_liver,49,102.6,2021,05,Liver,376,460,0,46°55'S,60°51'W,5,260.00,468.0,3,0,0.181,0,44.865
49_06_liver,49,101.9,2021,06,Liver,376,460,1,46°55'S,60°51'W,5,218.00,229.1,5,0,0.046,0,8.9
49_07_liver,49,109.5,2021,07,Liver,376,460,1,46°55'S,60°51'W,5,183.00,108.6,1,0,0.038,0,1.929
49_08_liver,49,108.5,2021,08,Liver,376,460,0,46°55'S,60°51'W,5,206.00,158.3,2,0,0.304,0,36.215
49_09_liver,49,102.7,2021,09,Liver,376,460,0,46°55'S,60°51'W,5,219.00,186.2,2,0,0.075,0,4.733
49_10_liver,49,106.8,2021,10,Liver,376,460,1,46°55'S,60°51'W,5,197.00,140.3,2,0,0.109,0,18.202
49_11_liver,49,106.6,2021,11,Liver,376,460,0,46°55'S,60°51'W,5,186.00,107.6,1,0,0.413,0,41.556
49_12_liver,49,105.3,2021,12,Liver,376,460,0,46°55'S,60°51'W,5,192.00,151.7,1,0,0.07,0,3.968
49_13_liver,49,109.9,2021,13,Liver,376,460,1,46°55'S,60°51'W,5,197.00,170.3,3,0,0.104,0,11.484
49_14_liver,49,103.7,2021,14,Liver,376,460,1,46°55'S,60°51'W,5,181.00,119.6,2,0,0.084,0,6.337
49_15_liver,49,106.7,2021,15,Liver,376,460,1,46°55'S,60°51'W,5,194.00,148.5,3,0,0.121,0,4.466
47_01_inksac,47,105.2,2021,01,Inksac,544,181,1,49°33'S,59°59'W,6,288.00,646.2,5,3.975,0.442,0,2.245
47_02_inksac,47,106.5,2021,02,Inksac,544,181,1,49°33'S,59°59'W,6,254.00,444.5,5,0.768,0.432,5 BLOQ,0.607
47_03_inksac,47,101.0,2021,03,Inksac,544,181,1,49°33'S,59°59'W,6,246.00,453.3,5,3.488,0.459,0,4.409
